query,accuracy
pos19689_23797_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/44008/0_4366,25.00%
pos153484_149819_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/44021/0_3780,0%
pos74019_66993_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/44073/0_9251,0%
pos75829_70842_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/44164/1104_11591,0%
pos31370_33864_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/45281/2998_6718,100.00%
pos220921_218523_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/45543/4249_7280,0%
pos95267_98516_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/45558/0_3378,33.33%
pos211506_217146_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/47154/0_6127,25.00%
pos278144_277492_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/47297/0_3250,0%
pos230979_234713_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/48296/0_3765,50.00%
pos245563_243973_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/48570/626_13059,0%
pos51162_45783_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/49784/0_5409,0%
pos268525_277341_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/50381/0_12035,76.19%
pos213819_210284_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/50559/10198_15271,0%
pos192948_200310_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/50750/0_7432,75.00%
pos236837_243644_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/50837/2402_12559,43.33%
pos59832_56433_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/51118/0_7195,75.00%
pos251897_251008_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/51216/11776_17164,0%
pos162746_165459_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/51308/0_4354,50.00%
